] c0      1 i2c-core: driver [pn544] using legacy suspend method
<7>[    4.792217] c2    438 [NET][CORE][RULE] fib_nl_fill_rule ,owner=(null)
<7>[    4.792247] c2    438 [NET][IPV4][RULE] fib4_rule_fill 
<7>[    4.792247] c2    438 [NET][CORE][RULE] flush_route_cache ,owner=(null)
<7>[    4.792247] c2    438 [NET][IPV4][RULE] fib4_rule_flush_cache 
<7>[    4.792278] c2    438 [NET][CORE][RULE] rules_ops_put ,owner=(null)
<6>[    4.792766] c0      0 [USB] portsc = 88000a05
<6>[    4.792797] c0      0 [USB] portchange USB_SPEED_HIGH
<7>[    4.795849] c2    439 [NET][CORE][RULE] fib_nl_newrule 
<7>[    4.795879] c2    439 [NET][CORE][RULE] lookup_rules_ops 
<7>[    4.795879] c2    439 [NET][CORE][RULE] validate_rulemsg ,owner=(null)
<7>[    4.795879] c2    439 [NET][IPV4][RULE] fib4_rule_configure 
<7>[    4.795910] c2    439 [NET][CORE][RULE] notify_rule_change ,owner=(null)
<7>[    4.795910] c2    439 [NET][CORE][RULE] fib_rule_nlmsg_size 
<7>[    4.795940] c2    439 [NET][CORE][RULE] fib_nl_fill_rule ,owner=(null)
<7>[    4.795940] c2    439 [NET][IPV4][RULE] fib4_rule_fill 
<7>[    4.795940] c2    439 [NET][CORE][RULE] flush_route_cache ,owner=(null)
<7>[    4.795940] c2    439 [NET][IPV4][RULE] fib4_rule_flush_cache 
<7>[    4.795971] c2    439 [NET][CORE][RULE] rules_ops_put ,owner=(null)
<7>[    4.799389] c2    440 [NET][CORE][RULE] fib_nl_newrule 
<7>[    4.799389] c2    440 [NET][CORE][RULE] lookup_rules_ops 
<7>[    4.799420] c2    440 [NET][CORE][RULE] validate_rulemsg ,owner=(null)
<7>[    4.799420] c2    440 [NET][IPV6][RULE] fib6_rule_configure 
<7>[    4.799450] c2    440 [NET][CORE][RULE] notify_rule_change ,owner=(null)
<7>[    4.799450] c2    440 [NET][CORE][RULE] fib_rule_nlmsg_size 
<7>[    4.799450] c2    440 [NET][CORE][RULE] fib_nl_fill_rule ,owner=(null)
<7>[    4.799481] c2    440 [NET][IPV6][RULE] fib6_rule_fill 
<7>[    4.799481] c2    440 [NET][CORE][RULE] flush_route_cache ,owner=(null)
<7>[    4.799481] c2    440 [NET][CORE][RULE] rules_ops_put ,owner=(null)
<7>[    4.802990] c2    441 [NET][CORE][RULE] fib_nl_newrule 
<7>[    4.802990] c2    441 [NET][CORE][RULE] lookup_rules_ops 
<7>[    4.802990] c2    441 [NET][CORE][RULE] validate_rulemsg ,owner=(null)
<7>[    4.803021] c2    441 [NET][IPV6][RULE] fib6_rule_configure 
<7>[    4.803021] c2    441 [NET][CORE][RULE] notify_rule_change ,owner=(null)
<7>[    4.803021] c2    441 [NET][CORE][RULE] fib_rule_nlmsg_size 
<7>[    4.803052] c2    441 [NET][CORE][RULE] fib_nl_fill_rule ,owner=(null)
<7>[    4.803052] c2    441 [NET][IPV6][RULE] fib6_rule_fill 
<7>[    4.803052] c2    441 [NET][CORE][RULE] flush_route_cache ,owner=(null)
<7>[    4.803082] c2    441 [NET][CORE][RULE] rules_ops_put ,owner=(null)
<6>[    4.864642] c0      0 [USB] reset
<6>[    4.866900] c0    456 [USB] portsc = 88000a05
<6>[    4.866900] c0    456 [USB] portchange USB_SPEED_HIGH
<6>[    4.953212] c0    152 composite_setup: OS_LINUX
<6>[    4.954799] c0    152 android_usb gadget: high-speed config #1: android
<6>[    4.954921] c0    152 [USB] Avail curr from USB = 500
<6>[    4.954951] c0    152 [USB] Power Supply doesn't support USB charger
<6>[    4.954951] c0    152 [BATT][CHG] Enter charge=500 (deprecated api)
<6>[    4.955714] c0    149 [USB] android_work: android_work: sent missed DISCONNECT event
<6>[    4.984678] c0    149 [USB] android_work: android_work: sent CONNECT event
<6>[    5.084297] c0    149 [USB] android_work: android_work: sent uevent USB_STATE=CONFIGURED
<6>[    5.141767] c0    328 [DISP] cabc_level_ctl_switch: change cabc level
<3>[    5.199023] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<3>[    5.205859] c1      1 init: sys_prop: permission denied uid:1003  name:service.bootanim.ready
<6>[    5.241049] c0    149 [DISP] mipi_dsi_on+:
<6>[    5.289882] c0    149 [DISP] mipi_dsi_on-:
<6>[    5.442575] c0    149 [DISP] monarudo_display_on
<6>[    5.442575] c0    149 [DISP] msm_fb_pan_display_sub: bl_level 0 ignore_bkl_zero 0
<6>[    5.442606] c0    149 [DISP] brightness orig=143, transformed=83
<3>[    5.699221] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    5.703036] c0    226 [USBDIAG] diagchar_open:mediaserver(parent:init): tgid=226
<6>[    5.703189] c0    226 [USBDIAG] diagchar_ioctl:mediaserver(parent:init): tgid=226
<6>[    5.703250] c0    226 ion_client_create: create ion_client (mediaserver) at dd4f47c0
<6>[    5.703464] c0    226 ion_client_create: create ion_client (audio_acdb_client) at de06b2c0
<6>[    5.703921] c0    226 [AUD] htc-acoustic: open
<6>[    5.703952] c0    226 [AUD] htc-acoustic: support components: 0x1
<6>[    5.703952] c0    226 [AUD] htc-acoustic: release
<6>[    5.841385] c3    215 ion_client_create: create ion_client (surfaceflinger) at dd4efec0
<6>[    5.859697] c3    509 ion_client_create: create ion_client (bootanimation) at dd4efc00
<3>[    5.867388] c3      1 init: sys_prop: permission denied uid:1003  name:service.bootanim.ready
<6>[    5.867907] c3    118 mdp4_overlay_mdp_perf_upd mdp clk is changed [1] from 0 to 177780000
<6>[    5.870135] c3    118 mdp4_overlay_mdp_perf_upd mdp bw is changed [1] from 4 to 1
<3>[    6.199389] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    6.310758] c1    226 [AUD] htc-acoustic: open
<6>[    6.310758] c1    226 [AUD] htc-acoustic: support components: 0x20
<6>[    6.310788] c1    226 [AUD] htc-acoustic: release
<6>[    6.318419] c1    226 [AUD] rt5501: rt5501_ioctl: update rt5501 i2c commands #21 success.
<6>[    6.318449] c1    226 [AUD] rt5501: update_amp_parameter: set mode 2
<6>[    6.318449] c1    226 [AUD] rt5501: update_amp_parameter: set mode 1
<6>[    6.318480] c1    226 [AUD] rt5501: update_amp_parameter: set mode 0
<6>[    6.334564] c3    226 [AUD] htc-acoustic: open
<6>[    6.335602] c3    226 [AUD] htc-acoustic: Set Q6 Effect : 0
<6>[    6.335632] c3    226 apq8064_set_q6_effect_mode: mode 0
<6>[    6.335632] c3    226 [AUD] htc-acoustic: release
<6>[    6.342102] c3    226 apq8064_get_q6_effect_mode: mode 0
<6>[    6.342682] c3    226 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    6.342682] c3    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    6.342774] c3    226 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    6.342804] c3    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 0
<6>[    6.343201] c3    226 [AUD] snd_soc_msm8960: spk amp on --
<6>[    6.343232] c3    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    6.343232] c3    226 [AUD] apr: apr_register: Load Q6 image
<6>[    6.357851] c3    226 scm-pas: init image, id:1
<6>[    6.359011] c3    226 scm-pas: init image, id:1 ret:0
<6>[    6.684938] c0    226 scm-pas: auth and reset, id:1
<6>[    6.696078] c3    548 usb_wwan_open
<3>[    6.852403] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    6.852586] c0    226 scm-pas: auth and reset, id:1 ret:0
<6>[    6.857378] c0    226 pil pil0: q6: Brought out of reset
<6>[    6.874530] c0    149 [SYSMON] sysmon_probe() name=sys_mon
<6>[    6.876361] c1     20 [USBDIAG] diagchar_ioctl:kworker/u:1(parent:kthreadd): tgid=20
<6>[    6.876453] c1     20 [USBDIAG] diagchar_ioctl:kworker/u:1(parent:kthreadd): tgid=20
<6>[    6.876545] c1     20 [USBDIAG] diagchar_ioctl:kworker/u:1(parent:kthreadd): tgid=20
<6>[    6.876636] c1     20 [USBDIAG] diagchar_ioctl:kworker/u:1(parent:kthreadd): tgid=20
<6>[    6.876728] c1     20 [USBDIAG] diagchar_ioctl:kworker/u:1(parent:kthreadd): tgid=20
<6>[    6.876789] c1     20 [USBDIAG] diagchar_ioctl:kworker/u:1(parent:kthreadd): tgid=20
<6>[    6.876880] c1     20 [USBDIAG] diagchar_ioctl:kworker/u:1(parent:kthreadd): tgid=20
<6>[    6.887471] c0    166 [AUD] apr_tal: apr_tal:Q6 Is Up
<6>[    6.888081] c0    226 [AUD] apr_tal: apr_tal: SMD_EVENT_OPEN
<6>[    7.134655] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.134686] c0    226 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    7.141584] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.141614] c0    226 ion_client_create: create ion_client (audio_client) at dde0d580
<6>[    7.144056] c0    226 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = de7a5d00
<6>[    7.144147] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.147199] c0    226 [AUD] q6adm: adm_matrix_map: session 0x1 path:1 num_copps:1 port_id[0]:6
<6>[    7.147230] c0    226 [AUD] q6adm: adm_matrix_map: port_id[0]: 6, index: 6
<6>[    7.148786] c0    226 [AUD] q6afe: afe_port_start: 6 48000
<6>[    7.153273] c3    226 [AUD] tfa9887: tfa9887_ioctl: TPA9887_ENABLE_DSP
<6>[    7.283808] c0    226 [AUD] tfa9887: tfa9887_open: busy
<6>[    7.283808] c0    226 [AUD] tfa9887: tfa9887_ioctl: TPA9887_ENABLE_DSP
<6>[    7.347352] c0    226 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 2
<6>[    7.351014] c0    226 ion_client_destroy: destroy ion_client dde0d580 (audio_client)
<6>[    7.351045] c0    226 [AUD] q6adm: adm_close port_id=6 index 6
<3>[    7.352601] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    7.355135] c0    226 [AUD] q6afe: afe_close: port_id=6
<6>[    7.358553] c0    226 [AUD] snd_soc_msm8960: spk amp off++
<6>[    7.358583] c0    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    7.365573] c0    226 [AUD] snd_soc_msm8960: spk amp off--
<6>[    7.447611] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.447947] c0    226 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    7.447978] c0    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    7.448039] c0    226 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    7.448039] c0    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    7.449015] c0    226 [AUD] snd_soc_msm8960: spk amp on --
<6>[    7.449046] c0    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    7.449168] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.449168] c0    226 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    7.453685] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.453715] c0    226 ion_client_create: create ion_client (audio_client) at dd6b7100
<6>[    7.456004] c0    226 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = de7a5d00
<6>[    7.456096] c0    226 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    7.459575] c0    226 ion_client_destroy: destroy ion_client dd6b7100 (audio_client)
<6>[    7.459636] c0    226 [AUD] snd_soc_msm8960: spk amp off++
<6>[    7.459636] c0    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    7.460888] c0    226 [AUD] snd_soc_msm8960: spk amp off--
<6>[    7.462536] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.462780] c0    226 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    7.462780] c0    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    7.462871] c0    226 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    7.462871] c0    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    7.463787] c0    226 [AUD] snd_soc_msm8960: spk amp on --
<6>[    7.463818] c0    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    7.463940] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.463940] c0    226 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    7.468182] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.468213] c0    226 ion_client_create: create ion_client (audio_client) at dd6b7700
<6>[    7.470379] c0    226 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = de7a5d00
<6>[    7.470441] c0    226 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    7.473981] c0    226 ion_client_destroy: destroy ion_client dd6b7700 (audio_client)
<6>[    7.474042] c0    226 [AUD] snd_soc_msm8960: spk amp off++
<6>[    7.474042] c0    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    7.475415] c0    226 [AUD] snd_soc_msm8960: spk amp off--
<6>[    7.479047] c3    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.479322] c3    226 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    7.479322] c3    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    7.479414] c3    226 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    7.479414] c3    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    7.480329] c0    226 [AUD] snd_soc_msm8960: spk amp on --
<6>[    7.480329] c0    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    7.480482] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.480482] c0    226 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    7.485090] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.485151] c0    226 ion_client_create: create ion_client (audio_client) at dd75ea80
<6>[    7.486952] c0    226 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = de7a5d00
<6>[    7.487074] c0    226 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    7.490584] c0    226 ion_client_destroy: destroy ion_client dd75ea80 (audio_client)
<6>[    7.490645] c0    226 [AUD] snd_soc_msm8960: spk amp off++
<6>[    7.490645] c0    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    7.491805] c0    226 [AUD] snd_soc_msm8960: spk amp off--
<6>[    7.493392] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.493636] c0    226 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    7.493667] c0    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    7.493728] c0    226 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    7.493728] c0    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    7.495101] c0    226 [AUD] snd_soc_msm8960: spk amp on --
<6>[    7.495101] c0    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    7.495223] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.495254] c0    226 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    7.499557] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.499587] c0    226 ion_client_create: create ion_client (audio_client) at dd75e700
<6>[    7.501724] c0    226 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = de7a5d00
<6>[    7.501815] c0    226 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    7.505356] c0    226 ion_client_destroy: destroy ion_client dd75e700 (audio_client)
<6>[    7.505417] c0    226 [AUD] snd_soc_msm8960: spk amp off++
<6>[    7.505447] c0    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    7.506821] c0    226 [AUD] snd_soc_msm8960: spk amp off--
<6>[    7.511185] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.511551] c0    226 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    7.511551] c0    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    7.511643] c0    226 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    7.511643] c0    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    7.513383] c0    226 [AUD] snd_soc_msm8960: spk amp on --
<6>[    7.513383] c0    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    7.513535] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.513535] c0    226 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    7.518296] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.518358] c0    226 ion_client_create: create ion_client (audio_client) at dd75ed00
<6>[    7.520189] c0    226 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = de7a5d00
<6>[    7.520372] c0    226 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    7.523851] c0    226 ion_client_destroy: destroy ion_client dd75ed00 (audio_client)
<6>[    7.523912] c0    226 [AUD] snd_soc_msm8960: spk amp off++
<6>[    7.523943] c0    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    7.526720] c0    226 [AUD] snd_soc_msm8960: spk amp off--
<6>[    7.529253] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.531298] c2    226 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    7.531420] c2    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    7.531756] c2    226 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    7.531848] c2    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    7.535357] c0    226 [AUD] snd_soc_msm8960: spk amp on --
<6>[    7.535388] c0    226 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    7.535785] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.535815] c0    226 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    7.540057] c0    226 apq8064_get_q6_effect_mode: mode 0
<6>[    7.540088] c0    226 ion_client_create: create ion_client (audio_client) at dd75eec0
<6>[    7.542499] c0    226 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = de7a5d00
<6>[    7.542591] c0    226 [AUD] snd_pcm: snd_pcm_drop: runtime->status->state 1
<6>[    7.555318] c0    226 ion_client_destroy: destroy ion_client dd75eec0 (audio_client)
<6>[    7.555379] c0    226 [AUD] snd_soc_msm8960: spk amp off++
<6>[    7.555409] c0    226 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    7.557210] c0    226 [AUD] snd_soc_msm8960: spk amp off--
<3>[    7.852891] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    8.024813] c2     20 [BATT] unknown_usb_detect_worker
<3>[    8.353395] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<3>[    8.853654] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<3>[    9.354097] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<3>[    9.855699] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<3>[   10.356447] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   10.464977] c1     79 [HS_PMIC] (irq_init_work_func) Enable detect IRQ
<6>[   10.465069] c1     79 [HS_PMIC] (irq_init_work_func) Setup button IRQ type
<6>[   10.625362] c0    624 [LS][cm3629] lightsensor_open
<6>[   10.625453] c0    624 [LS][cm3629] lightsensor_ioctl LIGHTSENSOR_IOCTL_GET_ENABLED, enabled 0
<6>[   10.625545] c0    624 [LS][cm3629] lightsensor_release
<3>[   10.858477] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   10.944788] c0    166 [DISP] init_complete_handler()
<7>[   10.944880] c0    166 [DISP] MhlTx: SiiMhlTxInitialize
<7>[   10.947352] c0    166 [DISP] Drv: SiiMhlTxChipInitialize: 9244
<7>[   10.948451] c0    166 [DISP] SiI 9234
<7>[   10.948481] c0    166 [DISP] Drv: WriteInitialRegisterValues
<7>[   10.977414] c0    166 [DISP] Drv: MHL 1.0 Compliant Clock
<7>[   11.019136] c0    166 [DISP] Drv: InitCBusRegs
<7>[   11.024385] c0    166 [DISP] Drv: Switch To D3: pinAllowD3 = 1
<3>[   11.358736] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<3>[   11.858995] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   12.165328] c3    624 [PS][cm3629] psensor_open
<6>[   12.165511] c3    624 [PS][cm3629] psensor_ioctl cmd 1
<7>[   12.165878] c3    624 [TIMERIRQ]timerirq_open: current->pid 624
<6>[   12.166305] c3    624 MPL-accODR: 0 
<6>[   12.166305] c3    624 MPL-accODR: 31250 
<7>[   12.166488] c3    624 gyro_gsensor_kvalue[0] = 0x67
<7>[   12.166519] c3    624 gyro_gsensor_kvalue[1] = 0x0
<7>[   12.166519] c3    624 gyro_gsensor_kvalue[2] = 0x0
<7>[   12.166519] c3    624 gyro_gsensor_kvalue[3] = 0x0
<7>[   12.166549] c3    624 gyro_gsensor_kvalue[4] = 0x24
<7>[   12.166549] c3    624 gyro_gsensor_kvalue[5] = 0x0
<7>[   12.166549] c3    624 gyro_gsensor_kvalue[6] = 0x5
<7>[   12.166549] c3    624 gyro_gsensor_kvalue[7] = 0xca
<7>[   12.166580] c3    624 gyro_gsensor_kvalue[8] = 0xfc
<7>[   12.166580] c3    624 gyro_gsensor_kvalue[9] = 0x0
<7>[   12.166580] c3    624 gyro_gsensor_kvalue[10] = 0x1
<7>[   12.166580] c3    624 gyro_gsensor_kvalue[11] = 0x1c
<7>[   12.166610] c3    624 gyro_gsensor_kvalue[12] = 0x4
<7>[   12.166610] c3    624 gyro_gsensor_kvalue[13] = 0x0
<7>[   12.166610] c3    624 gyro_gsensor_kvalue[14] = 0x0
<7>[   12.166610] c3    624 gyro_gsensor_kvalue[15] = 0xc8
<7>[   12.166641] c3    624 gyro_gsensor_kvalue[16] = 0x5e
<7>[   12.166641] c3    624 gyro_gsensor_kvalue[17] = 0x0
<7>[   12.166641] c3    624 gyro_gsensor_kvalue[18] = 0x0
<7>[   12.166671] c3    624 gyro_gsensor_kvalue[19] = 0xca
<7>[   12.166671] c3    624 gyro_gsensor_kvalue[20] = 0x50
<7>[   12.166671] c3    624 gyro_gsensor_kvalue[21] = 0xff
<7>[   12.166671] c3    624 gyro_gsensor_kvalue[22] = 0xff
<7>[   12.166702] c3    624 gyro_gsensor_kvalue[23] = 0xf8
<7>[   12.166763] c3    624 gyro_gsensor_kvalue[24] = 0x6c
<7>[   12.166793] c3    624 gyro_gsensor_kvalue[25] = 0xff
<7>[   12.166793] c3    624 gyro_gsensor_kvalue[26] = 0xff
<7>[   12.166793] c3    624 gyro_gsensor_kvalue[27] = 0xf9
<7>[   12.166824] c3    624 gyro_gsensor_kvalue[28] = 0xb8
<7>[   12.166824] c3    624 gyro_gsensor_kvalue[29] = 0x0
<7>[   12.166824] c3    624 gyro_gsensor_kvalue[30] = 0x0
<7>[   12.166824] c3    624 gyro_gsensor_kvalue[31] = 0x12
<7>[   12.166854] c3    624 gyro_gsensor_kvalue[32] = 0xb8
<7>[   12.166854] c3    624 gyro_gsensor_kvalue[33] = 0xf9
<7>[   12.166854] c3    624 gyro_gsensor_kvalue[34] = 0xb1
<7>[   12.166854] c3    624 gyro_gsensor_kvalue[35] = 0x28
<7>[   12.166885] c3    624 gyro_gsensor_kvalue[36] = 0xa7
<7>[   12.171890] c3    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, on = 1, motion_sensor_vreg_8921_l17 = 0x  (null)
<4>[   12.171951] c3    624 8921_l17: Failed to create debugfs directory
<7>[   12.172592] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, Set to Low Power Mode
<7>[   12.172623] c0    624 [MPU][MPL3.3.7]monarudo_mpu3050_sensor_power_LPM unlock 3
<7>[   12.172653] c0    624 [GYRO][MPU3050] mpu_lpm_flag_store: mpu_lpm_flag = 1
<7>[   12.172928] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, on = 1, motion_sensor_vreg_8921_l17 = 0xdd6b7d80
<7>[   12.172958] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, Set to Low Power Mode
<7>[   12.172958] c0    624 [MPU][MPL3.3.7]monarudo_mpu3050_sensor_power_LPM unlock 3
<7>[   12.172989] c0    624 [GYRO][MPU3050] mpu_lpm_flag_store: mpu_lpm_flag = 1
<7>[   12.173233] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, on = 1, motion_sensor_vreg_8921_l17 = 0xdd6b7d80
<7>[   12.173264] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, Set to Low Power Mode
<7>[   12.173294] c0    624 [MPU][MPL3.3.7]monarudo_mpu3050_sensor_power_LPM unlock 3
<7>[   12.173294] c0    624 [GYRO][MPU3050] mpu_lpm_flag_store: mpu_lpm_flag = 1
<7>[   12.173538] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, on = 1, motion_sensor_vreg_8921_l17 = 0xdd6b7d80
<7>[   12.173569] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, Set to Low Power Mode
<7>[   12.173599] c0    624 [MPU][MPL3.3.7]monarudo_mpu3050_sensor_power_LPM unlock 3
<7>[   12.173599] c0    624 [GYRO][MPU3050] mpu_lpm_flag_store: mpu_lpm_flag = 1
<7>[   12.173844] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, on = 1, motion_sensor_vreg_8921_l17 = 0xdd6b7d80
<7>[   12.173874] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, Set to Low Power Mode
<7>[   12.173874] c0    624 [MPU][MPL3.3.7]monarudo_mpu3050_sensor_power_LPM unlock 3
<7>[   12.173905] c0    624 [GYRO][MPU3050] mpu_lpm_flag_store: mpu_lpm_flag = 1
<7>[   12.174118] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, on = 1, motion_sensor_vreg_8921_l17 = 0xdd6b7d80
<7>[   12.174149] c0    624 [MPU][MPL3.3.7] monarudo_mpu3050_sensor_power_LPM, Set to Low Power Mode
<7>[   12.174179] c0    624 [MPU][MPL3.3.7]monarudo_mpu3050_sensor_power_LPM unlock 3
